Organization Name,Website,Category,Technologies,Topics,Project Name,Project Url
52°North Initiative for Geospatial Open Source Software GmbH,http://52north.org/,Other,"javascript,java,web services,ogc standards,web","geoinformatics,sensor web,web-based geoprocessing,spatial data infrastructures,spatial information",Simple Features for protobuf and others,https://summerofcode.withgoogle.com/archive/2017/projects/6219606565847040/
AboutCode,http://aboutcode.org,Programming languages,"python,javascript,c/c++,shell script,static analysis","free and open source software  license and origin,package and dependencies licensing and origin,package vulnerabilities and security,code scan and matching,code analysis and spdx",Building ScanCode live scan server,https://summerofcode.withgoogle.com/archive/2017/projects/6426516883767296/
AboutCode,http://aboutcode.org,Programming languages,"python,javascript,c/c++,shell script,static analysis","free and open source software  license and origin,package and dependencies licensing and origin,package vulnerabilities and security,code scan and matching,code analysis and spdx",Live scan server to scan licenses using URL and file uploader,https://summerofcode.withgoogle.com/archive/2017/projects/5362705024155648/
AboutCode,http://aboutcode.org,Programming languages,"python,javascript,c/c++,shell script,static analysis","free and open source software  license and origin,package and dependencies licensing and origin,package vulnerabilities and security,code scan and matching,code analysis and spdx",Package Vulnerability Data Feed & Scanner,https://summerofcode.withgoogle.com/archive/2017/projects/4528971072929792/
AboutCode,http://aboutcode.org,Programming languages,"python,javascript,c/c++,shell script,static analysis","free and open source software  license and origin,package and dependencies licensing and origin,package vulnerabilities and security,code scan and matching,code analysis and spdx",Plugin architecture for ScanCode,https://summerofcode.withgoogle.com/archive/2017/projects/4847532286935040/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,c/c++,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",Universal Space Operations Center,https://summerofcode.withgoogle.com/archive/2017/projects/6437495088611328/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,c/c++,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",Orbit Position Data Analysis and Interpolation,https://summerofcode.withgoogle.com/archive/2017/projects/6712304007643136/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,c/c++,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",SiqNAL: Fast CubeSat tracking using IQ stream data,https://summerofcode.withgoogle.com/archive/2017/projects/5749327108505600/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,c/c++,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",VisMa – A visual equation solver,https://summerofcode.withgoogle.com/archive/2017/projects/6145493683929088/
AerospaceResearch.net,http://aerospaceresearch.net/,Science and medicine,"python,c/c++,vhdl,boinc","distributed computing,space applications,software defined radio,cubesats,simulations",Multi Purpose Ground Station,https://summerofcode.withgoogle.com/archive/2017/projects/6152911629320192/
